time,GEN1:Vt,GEN1:delta,GEN1:omega,GEN1:P,GEN2:P,GEN3:P,GEN2:Vt,GEN2:delta,GEN3:delta,GEN2:omega,GEN3:omega,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
0.3,1.0322314964792074,0.23303331539099487,1.0023476435472174,2.1629620487532804,6.286209211213382,7.196927128732112,0.9416872341540944,1.1024736147546064,1.1490518028793266,1.0017488437523896,1.0017567453031744,1.2158642261873265,1.2364666483327618,1.0966899861103325,1.2176085715147604,1.18005184182981,1.3496565974071626,0.023744033439369525
0.31,1.0320885394634223,0.2420036892968766,1.0023841284268,2.1921978958160606,6.280964281838964,7.188081299305195,0.9416017761277555,1.1087727292986087,1.1553648471342683,1.001655653153161,1.0016587093725942,1.2232087885876297,1.2469604990099137,1.1039363738590842,1.2277054181544325,1.1867379645527818,1.3586924063159795,0.02714049699940715
0.32,1.0319502692340319,0.2511004368266348,1.0024169715084257,2.2228802586270295,6.27363124517146,7.176705923693677,0.94158112439311,1.114723914935666,1.1613128648395672,1.0015637124723764,1.0015622981275822,1.2303569480587453,1.2575367508636215,1.1111385786948054,1.2377698098889744,1.1934426758700436,1.3676941429427594,0.030700185582202277
0.33,1.0318170690208421,0.2603093118413108,1.0024460174907315,2.254847303347574,6.264259109037002,7.162875357864436,0.9416244815638355,1.1203329536826936,1.1669030749504021,1.0014733583159119,1.0014678547783633,1.2373175076097789,1.2681825903252715,1.1183051178020715,1.2477877476907326,1.2001704323738032,1.3766560500094676,0.03442525042952487
0.34,1.0316892793055608,0.2696155443446578,1.0024711310830217,2.2879305730356894,6.252901240559364,7.146669074579977,0.9417307310676101,1.1256068692953438,1.172143955889514,1.001384918262172,1.001375711233572,1.2441002693718302,1.278884694124698,1.1254438603130108,1.2577454216357613,1.2069252844412213,1.3855724900291533,0.03831765007565078
0.35000000000000003,1.031567203667668,0.27900391825920007,1.0024921976940606,2.3219559681377593,6.23961540493767,7.1281716797593475,0.9418984531555349,1.1305538909983937,1.1770452007276884,1.0012987101475164,1.0012861873947891,1.2507159176909581,1.2896293030865167,1.1325619626882637,1.2676292803765425,1.2137108407746955,1.3944379554020414,0.04237914946051829
0.36,1.031451114564484,0.2884588514255005,1.0025091240001707,2.356744748929589,6.22446381728312,7.107472939791922,0.9421259427505659,1.135183414501691,1.181617669697518,1.001215041344114,1.001199590448047,1.2571758984523425,1.3004022973343514,1.1396658130541126,1.2774260982154273,1.2205302368195856,1.4032470783744857,0.046611319312046984
0.37,1.0313412589668323,0.2979644773635557,1.0025218383913097,2.392114552201745,6.207513202118887,7.0846678127339615,0.9424112289270616,1.1395059602672297,1.18587334002521,1.001134208028771,1.0011162141515606,1.2634922955248724,1.3111892723538,1.1467609847751756,1.287123039352355,1.2273861072858396,1.4119946407855677,0.05101553579209456
0.38,1.0312378637730808,0.3075047283325796,1.0025302912943936,2.4278804159177247,6.188834854759114,7.059856476040972,0.9427520958048693,1.1435331289903665,1.1898252530656033,1.0010564944422384,1.001036338119974,1.2696777052360495,1.321975615379085,1.1538521994443376,1.2967077189218907,1.234280562965209,1.4206755835320584,0.05559298040177343
0.39,1.0311411409278455,0.3170634192246333,1.0025344553736868,2.463855806428983,6.168504698540184,7.033144343394941,0.9431461046333739,1.1472775542593876,1.1934874587298947,1.0009821721395105,1.0009602271064642,1.2757451098019408,1.3327465815863777,1.1609432993756374,1.3061682604768854,1.2412151720001905,1.4292850156887118,0.060344640142893445
